'1166', '826', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1165', '825', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1164', '824', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1163', '823', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1162', '822', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1161', '821', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1160', '820', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1159', '819', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1158', '818', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1157', '817', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1156', '816', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1155', '815', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1154', '814', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1153', '813', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1152', '812', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1151', '811', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1150', '810', '2', 'Outlook -> App', 'IMPORTAR_NUEVO', 'Exito', 'Evento importado desde Outlook.', NULL, NULL, '2025-09-05 14:56:04'
'1149', NULL, '2', 'Outlook -> App', 'IMPORTAR_LIMPIEZA', 'Exito', '17 citas de Outlook eliminadas antes de la nueva importación.', NULL, NULL, '2025-09-05 14:56:03'
'1148', NULL, '2', 'Outlook -> App', 'RE-SYNC_SERIES', 'Info', 'Detectado cambio en serie maestra. Iniciando re-sincronización completa.', NULL, NULL, '2025-09-05 14:56:03'
